Class,Binomial,Population_Count,High_Risk_Populations,Median_Log_Trend,Mean_Log_Trend,Regions,High_Risk_Share
Aves,Ciconia_ciconia,45,7,0.4457040041376725,0.8736016637945797,"Africa, Asia, Europe",0.15555555555555556
Aves,Pygoscelis_adeliae,66,10,0.4547675426889848,0.32858704686858514,Antarctic,0.15151515151515152
Mammalia,Alces_americanus,20,3,0.2420420578578328,0.40183687745293967,North America,0.15
Aves,Calidris_alba,20,3,0.3086245948730948,0.6958882742352233,"Africa, Asia, Europe, North America, Oceania",0.15
Elasmobranchii,Squalus_acanthias,21,3,0.0195495964087632,0.23391404211009528,"Asia, North America",0.14285714285714285
Aves,Fulmarus_glacialis,22,3,0.22417571725029625,0.16231164964373035,"Europe, North America",0.13636363636363635
Mammalia,Bison_bison,22,3,1.174009139947688,1.04018226322122,North America,0.13636363636363635
Actinopteri,Pollachius_virens,37,5,0.0095353461261955,0.01794882938866372,"Europe, North America",0.13513513513513514
Mammalia,Cervus_elaphus,53,7,0.5671125541225841,0.695922928856816,"Africa, Asia, Europe, North America",0.1320754716981132
Elasmobranchii,Leucoraja_ocellata,23,3,-0.1515969560475389,-0.049334153308716704,North America,0.13043478260869565
Aves,Phalacrocorax_carbo,46,6,0.9525946241924861,1.401542959031537,"Africa, Asia, Europe",0.13043478260869565
Mammalia,Lynx_lynx,31,4,0.7173279787571598,1.0275165304606921,"Asia, Europe",0.12903225806451613
Actinopteri,Salmo_salar,47,6,0.7065702008920858,0.8727242679820164,"Europe, North America",0.1276595744680851
Aves,Climacteris_picumnus,96,12,0.0,-0.0008737290006808462,Oceania,0.125
Aves,Gyps_fulvus,33,4,2.106320630231078,2.069701330360136,"Asia, Europe",0.12121212121212122
Actinopteri,Anarhichas_denticulatus,25,3,-0.01681946416502,0.025600649941637386,North America,0.12
Mammalia,Phascogale_tapoatafa,26,3,0.0,-0.09434589830640408,Oceania,0.11538461538461539
Reptilia,Caretta_caretta,37,4,0.2451224580329847,0.19334489063665733,"Africa, Asia, Europe, Latin America and Caribbean, North America",0.10810810810810811
Aves,Troglodytes_troglodytes,29,3,0.1580496955732768,0.2555147193529284,"Europe, North America",0.10344827586206896
Aves,Thalasseus_sandvicensis,29,3,0.6010725016137686,1.8387384330478438,"Africa, Asia, Europe",0.10344827586206896
Aves,Ardea_cinerea,33,3,0.7952702787591885,0.8744831170512039,"Africa, Asia, Europe",0.09090909090909091
Aves,Haematopus_ostralegus,23,2,0.7537718023763804,0.9417285663439863,"Africa, Asia, Europe",0.08695652173913043
Mammalia,Halichoerus_grypus,72,6,1.1286929210960297,2.3442765098578198,"Europe, North America",0.08333333333333333
Mammalia,Canis_lupus,49,4,0.4791361128090083,0.8948963787720501,"Asia, Europe, North America",0.08163265306122448
Mammalia,Capreolus_capreolus,28,2,0.47699445553888387,0.5184013772745659,"Asia, Europe",0.07142857142857142
Mammalia,Rupicapra_rupicapra,29,2,1.1009795038584649,1.2305965014878437,Europe,0.06896551724137931
Aves,Branta_canadensis,29,2,1.3497544434989432,1.562475934281332,"Europe, Latin America and Caribbean, North America",0.06896551724137931
Aves,Macronectes_halli,20,1,0.12965505481037184,0.23125172987529058,"Africa, Antarctic, Oceania",0.05
Elasmobranchii,Isurus_oxyrinchus,22,1,0.14819063003320743,0.10795414582915736,"Africa, Asia, Europe, International Waters, Latin America and Caribbean",0.045454545454545456
Mammalia,Lutra_lutra,22,1,0.1660120607388813,0.5328114477884152,"Asia, Europe",0.045454545454545456
Aves,Mareca_strepera,23,1,0.4698801038302242,0.9477853822353722,"Africa, Asia, Europe, Latin America and Caribbean, North America",0.043478260869565216
Aves,Haliaeetus_albicilla,23,1,1.712455259483363,1.664370717189614,"Asia, Europe",0.043478260869565216
Mammalia,Rupicapra_pyrenaica,28,1,0.9155164249980161,0.9909816399969766,Europe,0.03571428571428571
Actinopteri,Hippoglossus_hippoglossus,29,1,0.0107456359025286,0.2259608555224518,"Europe, North America",0.034482758620689655
Mammalia,Bettongia_penicillata,25,0,-0.0390293439057352,-0.06765058671017235,Oceania,0.0
Mammalia,Dasyurus_geoffroii,26,0,0.0,-0.0008178118739244808,Oceania,0.0
Aves,Corvus_corax,31,0,0.3803782736784296,0.5941345804648592,"Europe, North America",0.0
Aves,Falco_peregrinus,27,0,0.8329091229351038,1.1746776321064665,"Africa, Europe, North America",0.0
Aves,Morus_bassanus,23,0,1.5538447690825627,1.9325344700948752,"Europe, North America",0.0
Mammalia,Castor_fiber,23,0,2.740840023925201,2.6255260708937134,"Asia, Europe",0.0
